ID,Z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,lgOH_MEDIAN_T04,logMstar_S16,logSFR_SED_S16
892513,0.0457876,17.517345,16.373621,15.775148,15.424507,15.20096,9.309999,10.434,0.281
746634,0.0222365,16.48353,14.569831,13.932345,13.659589,13.730537,9.309999,10.511,0.104
771937,0.0311344,17.634073,16.024656,15.2780075,14.919166,14.666505,9.30987,10.401,0.202
389341,0.0475384,18.171045,17.140541,16.793392,16.385303,16.031176,9.309214,10.733,1.089
856805,0.0289021,16.62039,14.870418,14.245216,13.870752,13.720265,9.308068,10.766,0.01
337890,0.0358031,18.813868,17.25342,16.605223,16.250803,16.025063,9.300147,10.06,-0.416
700114,0.0242729,17.14519,14.630819,13.886622,13.4918,13.436607,9.289188,10.915,-0.678
639792,0.0385571,18.020798,16.623024,15.990816,15.649603,15.392421,9.288597,10.238,0.484
741139,0.0141575,16.525028,14.829452,14.027501,13.622641,13.364625,9.285733,10.223,-0.377
815600,0.0133107,15.902787,14.214085,13.429922,13.019462,12.785622,9.273968,10.396,-0.196
157205,0.0264362,16.695902,14.490294,13.567735,13.115167,12.829208,9.272671,11.058,-0.062
900005,0.0479714,17.181639,15.924646,15.2430105,14.881187,14.635178,9.270818,10.712,1.291
643421,0.0251699,16.517427,14.933298,14.183759,13.805294,13.6081085,9.270488,10.663,0.09
274687,0.0229484,15.957824,14.492813,13.908505,13.62745,13.510154,9.2701025,10.687,0.337
124917,0.0202125,16.252823,14.561533,13.739293,13.327289,13.043104,9.269998,10.866,-0.155
865316,0.0224013,16.121828,14.600628,13.838552,13.454093,13.202372,9.269227,10.7,0.448
853162,0.0337631,17.826185,15.860496,15.034293,14.599068,14.305164,9.269128,10.621,0.184
152967,0.0271892,15.631223,14.237763,13.624477,13.2801,13.099783,9.268215,10.788,0.371
593267,0.0320934,16.841497,14.935285,14.220777,13.869787,13.688547,9.268027,10.958,0.149
763012,0.0336369,16.956053,15.328062,14.573895,14.224365,14.002792,9.267637,10.741,0.242
137060,0.0386629,17.622093,16.082026,15.338734,14.946859,14.6605425,9.267226,10.562,0.777
276339,0.0396803,16.798395,15.159542,14.430645,14.0329275,13.80669,9.260791,10.856,0.54
629000,0.048769,17.594164,16.316866,15.718135,15.387772,15.1407385,9.260342,10.435,0.482
820547,0.0327506,19.020823,17.671753,16.935987,16.569954,16.34096,9.256896,9.65,-0.369
634463,0.0145767,14.998888,13.298947,12.672054,12.45945,12.301178,9.256252,10.788,0.476
895908,0.0334212,16.6091,15.283011,14.652534,14.318741,14.141198,9.255085,10.676,0.29
733276,0.0423046,17.06186,15.4931,14.804122,14.515714,14.293158,9.254461,10.977,0.713
768274,0.0328042,16.983633,15.711148,15.128111,14.798745,14.695225,9.2512865,10.469,0.434
605464,0.0329375,17.409653,15.935848,15.241108,14.857407,14.616033,9.251054,10.37,0.265
768246,0.0312826,18.052113,16.48213,15.796165,15.445515,15.175995,9.250875,10.003,-0.107
409233,0.0231927,16.708933,15.198522,14.526774,14.193678,14.0549345,9.250539,9.712,-0.237
547824,0.0261715,16.328121,14.970884,14.36415,14.03961,13.876577,9.250498,10.564,0.607
594646,0.0414596,17.892551,15.808427,14.962311,14.5566025,14.256317,9.250214,10.897,-0.323
432235,0.0298685,16.848085,15.041024,14.20235,13.777348,13.540617,9.250136,10.887,0.233
118530,0.0289266,17.224089,16.084925,15.446757,15.12633,14.84018,9.250005,10.195,0.073
133468,0.0247158,16.00287,14.449198,13.855537,13.604196,13.368986,9.249651,10.703,0.557
118943,0.0463451,17.04564,15.820405,15.259928,14.932534,14.75471,9.24945,10.688,0.3
837802,0.0320555,16.588638,14.844574,14.137167,13.745888,13.581013,9.248658,10.96,0.366
338084,0.0277515,18.31999,16.913414,15.967009,15.474641,15.078832,9.24784,10.498,-0.532
22027,0.0490511,16.882706,15.369697,14.809843,14.515221,14.362371,9.247547,11.144,0.682
888118,0.0217588,17.452042,16.053194,15.422891,15.092571,14.894129,9.245956,10.064,-0.477
408074,0.0251351,16.219635,14.863399,14.375038,14.1162,14.036136,9.243809,10.384,0.239
431250,0.0317829,16.66103,15.224403,14.494553,14.14255,13.868843,9.242705,10.641,0.429
802933,0.0479406,16.501343,15.264261,14.713472,14.374194,14.223029,9.242336,10.939,0.748
154347,0.0254846,16.74418,15.153064,14.460206,14.073077,13.906541,9.241382,10.56,0.362
566640,0.047618,18.779268,17.382961,16.728941,16.376877,16.142057,9.239723,10.012,0.205
589865,0.0460106,18.491781,16.967596,16.176285,15.798215,15.560993,9.239374,10.381,-1.299
428528,0.0292048,16.771307,14.975719,14.35291,14.018362,13.853587,9.238203,10.831,0.211
862962,0.0436501,17.624165,16.274246,15.516769,15.135403,14.913357,9.236642,10.738,0.127
823806,0.0347501,17.20038,15.198871,14.610088,14.182521,13.955833,9.236479,10.805,0.208
120657,0.0342028,17.162561,15.776693,15.111207,14.7172165,14.469384,9.233687,10.566,0.224
582513,0.0220972,16.454329,14.671789,13.89327,13.444243,13.209886,9.233427,10.703,0.011
429231,0.0482951,18.140982,16.432484,15.628839,15.17516,14.856096,9.231547,10.657,0.003
886152,0.0226725,16.383759,15.069314,14.595017,14.369286,14.318594,9.231325,10.351,0.156
638121,0.0472603,17.650269,15.983499,15.353565,15.072018,15.046563,9.231092,10.686,0.39
647776,0.041535,17.330292,15.78397,15.098726,14.723699,14.459434,9.231018,10.729,0.618
647039,0.0379082,15.978415,14.628223,14.079828,13.752877,13.700235,9.2310095,11.097,0.904
3561,0.0215001,16.36397,14.995872,14.415832,14.1061945,13.986028,9.230563,10.3,-0.035
910414,0.0282667,16.22282,14.938017,14.320663,13.945217,13.761729,9.230444,10.704,-0.027
388075,0.0137186,15.826666,14.114572,13.460558,13.144321,12.99085,9.22999,10.458,-0.21
716668,0.0427944,16.960014,15.584922,14.933277,14.534107,14.353944,9.229912,10.78,0.566
270606,0.0388877,16.476847,15.088418,14.613461,14.241961,14.29285,9.229142,10.74,0.409
769139,0.0469445,17.39693,16.07806,15.445272,15.076297,14.940708,9.229047,10.688,0.483
769407,0.0464453,17.589317,15.90276,15.058738,14.658005,14.33512,9.229011,10.895,0.014
564944,0.0327936,17.049383,15.3563,14.574904,14.179845,13.930516,9.228957,10.851,0.254
849040,0.0404491,17.513086,15.860591,15.184485,14.825461,14.644512,9.228766,10.711,0.435
634747,0.0242086,15.96101,14.346539,13.668274,13.320307,13.090604,9.228354,10.778,0.078
675708,0.0454293,17.251287,16.138588,15.601834,15.269736,15.055308,9.228325,10.472,0.775
785376,0.0473078,17.079765,15.241018,14.602667,14.267625,14.257781,9.227482,11.207,0.795
639190,0.0430033,17.598457,16.000292,15.281459,14.912501,14.622347,9.226616,10.731,0.657
590627,0.0493526,17.907055,16.487753,15.879746,15.52313,15.320145,9.226191,10.473,0.807
593779,0.0353741,17.82689,15.816493,15.0451765,14.608082,14.4037485,9.226072,10.672,-0.26
594999,0.0364673,17.615469,15.947059,15.1709,14.731472,14.420234,9.225439,10.616,0.25
669571,0.0268746,18.008335,16.352303,15.594922,15.23296,14.954425,9.225043,10.098,-0.251
552445,0.0245318,16.277586,14.825535,14.144341,13.794419,13.644565,9.224789,10.758,0.133
23500,0.0259675,16.057613,14.564362,14.19327,14.02082,14.000074,9.224253,10.448,0.505
582774,0.0215302,16.801107,15.089785,14.327505,13.936063,13.735129,9.223894,10.5,-1.115
338335,0.0308314,16.801136,15.328112,14.747373,14.489157,14.33255,9.223737,10.422,0.167
775248,0.0302715,17.424278,16.101109,15.419075,15.089328,14.906714,9.22245,10.174,-0.279
868505,0.0347725,16.501125,14.914413,14.255982,13.945626,13.896271,9.222255,10.884,0.295
740805,0.0303978,16.121567,14.742498,14.152294,13.817968,13.637975,9.221268,10.879,0.159
595037,0.0408675,17.492125,15.994815,15.40994,15.1561,15.005356,9.2203245,10.583,0.106
132353,0.023653,17.36181,15.70742,14.921844,14.513772,14.245562,9.199898,10.321,-0.061
590546,0.0282164,16.217182,14.629455,13.988736,13.647595,13.519553,9.198738,10.911,0.174
266979,0.0350303,16.478094,15.008571,14.451681,14.116105,13.95375,9.198527,10.928,0.412
627618,0.0486973,17.054848,15.684469,15.011944,14.665244,14.4374075,9.198236,11.012,0.399
639623,0.0467063,18.102295,16.725388,16.062923,15.694726,15.510815,9.197807,10.467,0.753
699847,0.0186648,15.643659,13.872151,13.228228,12.890036,12.914946,9.196407,10.882,0.228
108959,0.0203249,15.956662,14.512859,13.905652,13.60304,13.450802,9.195765,10.524,0.091
614141,0.042634,16.429312,15.045734,14.675415,14.367652,14.323738,9.195671,10.782,0.684
643357,0.028811,18.631407,16.750338,16.055408,15.718404,15.49009,9.194724,10.001,-0.619
593864,0.0346461,16.836885,15.371953,14.829863,14.491098,14.336021,9.19468,10.592,0.22
769262,0.0334638,17.51623,15.989211,15.29451,14.936214,14.7994,9.194532,10.492,0.376
637103,0.0341775,16.819775,15.047091,14.244136,13.83776,13.585297,9.193851,10.909,0.073
891842,0.0277647,16.77006,15.5176735,14.995646,14.686604,14.508534,9.193349,10.3,0.033
818121,0.0440698,16.738436,15.299041,14.731799,14.417601,14.3007555,9.193125,11.038,0.903
304763,0.0408705,18.633001,17.25302,16.5306,16.10294,15.829992,9.192059,10.159,0.449
888314,0.0236882,16.15293,14.614996,14.031483,13.727532,13.693201,9.191783,10.628,0.633
826312,0.0412343,17.063488,15.836609,15.287622,14.973886,14.745061,9.19141,10.526,0.487
586091,0.0142293,15.542309,14.004851,13.500693,13.183574,13.1144705,9.191349,10.427,-0.099
625092,0.0421052,19.04285,17.8339,17.175566,16.854021,16.609167,9.191292,9.733,-0.302
158434,0.04178,17.026047,15.330077,14.617916,14.226071,14.029641,9.190894,10.949,1.001
337343,0.0288505,16.745012,15.209297,14.627793,14.302771,14.116807,9.190868,10.431,0.859
22780,0.0430099,16.954338,15.442226,14.7766695,14.425725,14.256825,9.190707,10.886,0.374
850259,0.0163249,15.717583,14.411399,13.826831,13.5347,13.313522,9.190188,10.364,-0.024
869792,0.0278881,17.06857,15.267152,14.496861,14.078993,13.84935,9.190122,10.724,0.089
16982,0.040651,16.893625,15.463391,14.806421,14.457698,14.282311,9.190119,10.926,0.463
643107,0.0414149,18.36477,17.080082,16.378323,15.994324,15.669019,9.190073,10.277,0.273
746319,0.0478913,18.263474,16.632767,15.773168,15.285969,14.951407,9.190072,10.726,0.517
273542,0.0235402,15.861343,14.140755,13.529903,13.22042,13.092821,9.190055,10.958,0.493
585646,0.0191106,15.88728,14.352765,13.669581,13.340345,13.164326,9.190051,10.521,0.152
566149,0.0326344,16.79485,15.400326,14.677667,14.314608,14.0198765,9.190039,10.675,0.397
597293,0.0418109,17.61149,15.858704,15.243408,14.862578,14.691018,9.190038,10.824,0.367
305447,0.0479837,17.525908,16.250616,15.659939,15.298021,15.047386,9.19,10.548,0.68
761649,0.0430143,17.202084,15.663514,15.002937,14.613802,14.383672,9.189997,10.757,0.129
817485,0.0310023,17.748798,16.086157,15.203055,14.746415,14.432233,9.18997,10.57,0.264
784826,0.0475733,16.930758,15.608715,14.968495,14.609715,14.394583,9.189962,10.985,0.766
